2017/03/19 04/22/28
40.90.10.212 服务器列表
120.92.129.141 双线一区(点)天下归一
120.92.129.130 双线一区(点)双剑合璧
120.92.129.136 双线二区(月)四海一家
121.14.64.3 电信一区(月)长安城(9合1)
121.14.64.5 电信一区(月)龙争虎斗(12合1)
121.14.64.76 电信二区(月)白帝城(28合1)
121.14.64.59 电信三区(月)金蛇漫舞(23合1)
121.14.23.105 电信三区(月)秀明尘身
121.14.64.72 电信四区(月)蝶恋花(26合1)
121.14.28.79 电信五区(点)平步青云
121.14.28.66 电信五区(点)千岛湖
121.14.64.53 电信五区(点)金榜题名
121.14.64.14 电信五区(点)唯我独尊(3合1)
121.14.64.29 电信五区(点)梦江南(3合1)
121.14.64.92 电信五区(点)乾坤一掷(2合1)
121.14.64.120 电信五区(点)剑胆琴心
121.14.64.78 电信五区(点)幽月轮(4合1)
121.14.64.155 电信五区(点)斗转星移(3合1)
121.14.64.84 电信六区(月)红尘寻梦(16合1)
121.14.64.145 电信七区(月)情深似海(11合1)
121.14.23.86 电信八区(点)风骨霸刀
121.14.28.152 电信八区(点)暗香掠影(2合1)
121.14.28.88 电信八区(点)引仙水榭
121.14.64.224 电信八区(点)亢龙有悔(5合1)
121.14.64.162 电信八区(点)绝代天骄(4合1)
121.14.64.23 电信八区(点)战无不胜(3合1)
125.39.136.28 网通(一/二)区(月)李忘生(24合1)
125.39.136.3 网通(一/二)区(月)飞龙在天(31合1)
125.39.62.34 网通(一/二)区(月)松烟竹雾
125.39.136.12 网通三区(点)破阵子(5合1)
125.39.136.32 网通三区(点)天鹅坪(8合1)
125.39.62.233 网通三区(点)飞鸢泛月(2合1)
125.39.62.36 网通三区(点)雪絮金屏
